iso_code,location,date,Infected,death
ETH,Ethiopia,3/13/2020,1,0
ETH,Ethiopia,3/14/2020,1,0
ETH,Ethiopia,3/15/2020,1,0
ETH,Ethiopia,3/16/2020,5,0
ETH,Ethiopia,3/17/2020,5,0
ETH,Ethiopia,3/18/2020,6,0
ETH,Ethiopia,3/19/2020,6,0
ETH,Ethiopia,3/20/2020,9,0
ETH,Ethiopia,3/21/2020,9,0
ETH,Ethiopia,3/22/2020,11,0
ETH,Ethiopia,3/23/2020,11,0
ETH,Ethiopia,3/24/2020,12,0
ETH,Ethiopia,3/25/2020,12,0
ETH,Ethiopia,3/26/2020,12,0
ETH,Ethiopia,3/27/2020,16,0
ETH,Ethiopia,3/28/2020,16,0
ETH,Ethiopia,3/29/2020,21,0
ETH,Ethiopia,3/30/2020,23,0
ETH,Ethiopia,3/31/2020,26,0
ETH,Ethiopia,4/1/2020,29,0
ETH,Ethiopia,4/2/2020,29,0
ETH,Ethiopia,4/3/2020,35,0
ETH,Ethiopia,4/4/2020,38,0
ETH,Ethiopia,4/5/2020,43,2
ETH,Ethiopia,4/6/2020,44,2
ETH,Ethiopia,4/7/2020,52,2
ETH,Ethiopia,4/8/2020,55,2
ETH,Ethiopia,4/9/2020,56,2
ETH,Ethiopia,4/10/2020,65,3
ETH,Ethiopia,4/11/2020,69,3
ETH,Ethiopia,4/12/2020,71,3
ETH,Ethiopia,4/13/2020,74,3
ETH,Ethiopia,4/14/2020,82,3
ETH,Ethiopia,4/15/2020,85,3
ETH,Ethiopia,4/16/2020,92,3
ETH,Ethiopia,4/17/2020,96,3
ETH,Ethiopia,4/18/2020,105,3
ETH,Ethiopia,4/19/2020,108,3
ETH,Ethiopia,4/20/2020,111,3
ETH,Ethiopia,4/21/2020,114,3
ETH,Ethiopia,4/22/2020,116,3
ETH,Ethiopia,4/23/2020,116,3
ETH,Ethiopia,4/24/2020,117,3
ETH,Ethiopia,4/25/2020,122,3
ETH,Ethiopia,4/26/2020,123,3
ETH,Ethiopia,4/27/2020,124,3
ETH,Ethiopia,4/28/2020,126,3
ETH,Ethiopia,4/29/2020,130,3
ETH,Ethiopia,4/30/2020,131,3
ETH,Ethiopia,5/1/2020,133,3
ETH,Ethiopia,5/2/2020,133,3
ETH,Ethiopia,5/3/2020,135,3
ETH,Ethiopia,5/4/2020,140,3
ETH,Ethiopia,5/5/2020,145,4
ETH,Ethiopia,5/6/2020,162,4
ETH,Ethiopia,5/7/2020,191,4
ETH,Ethiopia,5/8/2020,194,4
ETH,Ethiopia,5/9/2020,210,5
ETH,Ethiopia,5/10/2020,239,5
ETH,Ethiopia,5/11/2020,250,5
ETH,Ethiopia,5/12/2020,261,5
ETH,Ethiopia,5/13/2020,263,5
ETH,Ethiopia,5/14/2020,272,5
ETH,Ethiopia,5/15/2020,287,5
ETH,Ethiopia,5/16/2020,306,5
ETH,Ethiopia,5/17/2020,317,5
ETH,Ethiopia,5/18/2020,352,5
ETH,Ethiopia,5/19/2020,365,5
ETH,Ethiopia,5/20/2020,389,5
ETH,Ethiopia,5/21/2020,399,5
ETH,Ethiopia,5/22/2020,433,5
ETH,Ethiopia,5/23/2020,494,5
ETH,Ethiopia,5/24/2020,582,5
ETH,Ethiopia,5/25/2020,655,5
ETH,Ethiopia,5/26/2020,701,6
ETH,Ethiopia,5/27/2020,731,6
ETH,Ethiopia,5/28/2020,831,7
ETH,Ethiopia,5/29/2020,968,8
ETH,Ethiopia,5/30/2020,1063,8
ETH,Ethiopia,5/31/2020,1172,11
ETH,Ethiopia,6/1/2020,1257,12
ETH,Ethiopia,6/2/2020,1344,14
ETH,Ethiopia,6/3/2020,1486,17
ETH,Ethiopia,6/4/2020,1636,18
ETH,Ethiopia,6/5/2020,1805,19
ETH,Ethiopia,6/6/2020,1934,20
ETH,Ethiopia,6/7/2020,2020,27
ETH,Ethiopia,6/8/2020,2156,27
ETH,Ethiopia,6/9/2020,2336,32
ETH,Ethiopia,6/10/2020,2506,35
ETH,Ethiopia,6/11/2020,2670,40
ETH,Ethiopia,6/12/2020,2915,47
ETH,Ethiopia,6/13/2020,3166,55
ETH,Ethiopia,6/14/2020,3345,57
ETH,Ethiopia,6/15/2020,3521,60
ETH,Ethiopia,6/16/2020,3630,61
ETH,Ethiopia,6/17/2020,3759,63
ETH,Ethiopia,6/18/2020,3954,65
ETH,Ethiopia,6/19/2020,4070,72
ETH,Ethiopia,6/20/2020,4469,72
ETH,Ethiopia,6/21/2020,4532,74
ETH,Ethiopia,6/22/2020,4663,75
ETH,Ethiopia,6/23/2020,4848,75
ETH,Ethiopia,6/24/2020,5034,78
ETH,Ethiopia,6/25/2020,5175,81
ETH,Ethiopia,6/26/2020,5425,89
ETH,Ethiopia,6/27/2020,5570,94
ETH,Ethiopia,6/28/2020,5689,98
ETH,Ethiopia,6/29/2020,5846,103
ETH,Ethiopia,6/30/2020,5846,103
ETH,Ethiopia,7/1/2020,5846,103
ETH,Ethiopia,7/2/2020,5846,103
ETH,Ethiopia,7/3/2020,5846,103
ETH,Ethiopia,7/4/2020,5846,103
ETH,Ethiopia,7/5/2020,5846,103
ETH,Ethiopia,7/6/2020,5846,103
ETH,Ethiopia,7/7/2020,5846,103
ETH,Ethiopia,7/8/2020,6774,120
ETH,Ethiopia,7/9/2020,6973,120
ETH,Ethiopia,7/10/2020,7120,124
ETH,Ethiopia,7/11/2020,7402,124
ETH,Ethiopia,7/12/2020,7560,127
ETH,Ethiopia,7/13/2020,7766,128
ETH,Ethiopia,7/14/2020,7969,139
ETH,Ethiopia,7/15/2020,8181,146
ETH,Ethiopia,7/16/2020,8475,148
ETH,Ethiopia,7/17/2020,8803,150
ETH,Ethiopia,7/18/2020,9147,163
ETH,Ethiopia,7/19/2020,9503,167
ETH,Ethiopia,7/20/2020,10207,170
ETH,Ethiopia,7/21/2020,11072,180
ETH,Ethiopia,7/22/2020,11524,188
ETH,Ethiopia,7/23/2020,11933,197
ETH,Ethiopia,7/24/2020,12693,200
ETH,Ethiopia,7/25/2020,13248,209
ETH,Ethiopia,7/26/2020,13968,223
ETH,Ethiopia,7/27/2020,14547,228
ETH,Ethiopia,7/28/2020,15200,239
ETH,Ethiopia,7/29/2020,15810,253
ETH,Ethiopia,7/30/2020,16615,263
ETH,Ethiopia,7/31/2020,17530,274
ETH,Ethiopia,8/1/2020,17999,284
ETH,Ethiopia,8/2/2020,18706,310
ETH,Ethiopia,8/3/2020,19289,336
ETH,Ethiopia,8/4/2020,19877,343
ETH,Ethiopia,8/5/2020,20336,356
ETH,Ethiopia,8/6/2020,20900,365
ETH,Ethiopia,8/7/2020,21452,380
ETH,Ethiopia,8/8/2020,22253,390
ETH,Ethiopia,8/9/2020,22818,407
ETH,Ethiopia,8/10/2020,23591,420
ETH,Ethiopia,8/11/2020,24175,440
ETH,Ethiopia,8/12/2020,25118,463
ETH,Ethiopia,8/13/2020,26204,479
ETH,Ethiopia,8/14/2020,27242,492
ETH,Ethiopia,8/15/2020,28894,509
ETH,Ethiopia,8/16/2020,29876,528
ETH,Ethiopia,8/17/2020,31336,544
ETH,Ethiopia,8/18/2020,32722,572
ETH,Ethiopia,8/19/2020,34058,600
ETH,Ethiopia,8/20/2020,35836,620
ETH,Ethiopia,8/21/2020,37665,637
ETH,Ethiopia,8/22/2020,39033,662
ETH,Ethiopia,8/23/2020,40671,678
ETH,Ethiopia,8/24/2020,42143,692
ETH,Ethiopia,8/25/2020,43688,709
ETH,Ethiopia,8/26/2020,45221,725
ETH,Ethiopia,8/27/2020,46407,745
ETH,Ethiopia,8/28/2020,48140,758
ETH,Ethiopia,8/29/2020,49654,770
ETH,Ethiopia,8/30/2020,51122,793
ETH,Ethiopia,8/31/2020,52131,809
ETH,Ethiopia,9/1/2020,53304,828
ETH,Ethiopia,9/2/2020,54409,846
ETH,Ethiopia,9/3/2020,55213,856
ETH,Ethiopia,9/4/2020,56516,880
ETH,Ethiopia,9/5/2020,57466,897
ETH,Ethiopia,9/6/2020,58672,918
ETH,Ethiopia,9/7/2020,59648,933
ETH,Ethiopia,9/8/2020,60784,949
ETH,Ethiopia,9/9/2020,61700,966
ETH,Ethiopia,9/10/2020,62578,974
ETH,Ethiopia,9/11/2020,63367,986
ETH,Ethiopia,9/12/2020,63888,996
ETH,Ethiopia,9/13/2020,64301,1013
ETH,Ethiopia,9/14/2020,64786,1022
ETH,Ethiopia,9/15/2020,65486,1035
ETH,Ethiopia,9/16/2020,66224,1045
ETH,Ethiopia,9/17/2020,66913,1060
ETH,Ethiopia,9/18/2020,67515,1072
ETH,Ethiopia,9/19/2020,68131,1089
ETH,Ethiopia,9/20/2020,68820,1096
ETH,Ethiopia,9/21/2020,69709,1108
ETH,Ethiopia,9/22/2020,70422,1127
ETH,Ethiopia,9/23/2020,71083,1141
ETH,Ethiopia,9/24/2020,71687,1148
ETH,Ethiopia,9/25/2020,72173,1155
ETH,Ethiopia,9/26/2020,72700,1165
ETH,Ethiopia,9/27/2020,73332,1170
ETH,Ethiopia,9/28/2020,73944,1177
ETH,Ethiopia,9/29/2020,74584,1191
ETH,Ethiopia,9/30/2020,75368,1198
ETH,Ethiopia,10/1/2020,76098,1205
ETH,Ethiopia,10/2/2020,76988,1208
ETH,Ethiopia,10/3/2020,77860,1214
ETH,Ethiopia,10/4/2020,78819,1222
ETH,Ethiopia,10/5/2020,79437,1230
ETH,Ethiopia,10/6/2020,80003,1238
ETH,Ethiopia,10/7/2020,80895,1255
ETH,Ethiopia,10/8/2020,81797,1262
ETH,Ethiopia,10/9/2020,82662,1271
ETH,Ethiopia,10/10/2020,83429,1277
ETH,Ethiopia,10/11/2020,84295,1287
ETH,Ethiopia,10/12/2020,85136,1301
ETH,Ethiopia,10/13/2020,85718,1305
ETH,Ethiopia,10/14/2020,86430,1312
ETH,Ethiopia,10/15/2020,87169,1325
ETH,Ethiopia,10/16/2020,87834,1337
ETH,Ethiopia,10/17/2020,88434,1346
ETH,Ethiopia,10/18/2020,89137,1352
ETH,Ethiopia,10/19/2020,89860,1365
ETH,Ethiopia,10/20/2020,90490,1371
ETH,Ethiopia,10/21/2020,91118,1384
ETH,Ethiopia,10/22/2020,91693,1396
ETH,Ethiopia,10/23/2020,92229,1400
ETH,Ethiopia,10/24/2020,92858,1419
ETH,Ethiopia,10/25/2020,93343,1426
ETH,Ethiopia,10/26/2020,93707,1437
ETH,Ethiopia,10/27/2020,94218,1445
ETH,Ethiopia,10/28/2020,94820,1451
ETH,Ethiopia,10/29/2020,95301,1457
ETH,Ethiopia,10/30/2020,95789,1464
ETH,Ethiopia,10/31/2020,96169,1469
ETH,Ethiopia,11/1/2020,96583,1478
ETH,Ethiopia,11/2/2020,96942,1489
ETH,Ethiopia,11/3/2020,97502,1494
ETH,Ethiopia,11/4/2020,97881,1503
ETH,Ethiopia,11/5/2020,98391,1508
ETH,Ethiopia,11/6/2020,98746,1512
